id,class,division
13161995,Kamikaze,Div1
6433474,Illusionist,Div1
7461231,Insurer,Div1
10963480,Insurer,Div1
7854380,High Roller,Div1
10781075,Hacker,Div1
10820190,Ninja,Div1
7995027,High Roller,Div1
10476092,Insurer,Div1
9282781,Insurer,Div1
8821737,Insurer,Div1
11495122,Illusionist,Div1
8890388,Insurer,Div1
5366898,Ninja,Div1
10836844,Illusionist,Div1
9746556,Kamikaze,Div1
9318565,Ninja,Div2
10132830,Hacker,Div2
7747228,Kamikaze,Div2
13942593,Duelist,Div2
10113201,Hacker,Div2
4571241,Ninja,Div2
9939125,Duelist,Div2
10770865,Insurer,Div2
14220975,Illusionist,Div2
9362231,Illusionist,Div2
11073207,Illusionist,Div2
10836918,Illusionist,Div2
9274544,Hacker,Div2
10921261,Deputy,Div2
9717290,Duelist,Div2
6606172,Hacker,Div2
